"","run_id","model","accuracy","kappa","sensitivity","specificity","balanced_accuracy","rank_accuracy","rank_kappa","rank_sensitivity","rank_specificity","rank_balanced_accuracy","rank_sum","rank_avg","inverse","plot_title"
"1",42,"ensemble",0.941152263374486,0.626019467880871,0.956792873051225,0.751351351351351,0.854072112201288,35,3,60,17,14,129,43,0.00775193798449612,"1/Performance Rank"
"2",43,"ensemble",0.941358024691358,0.627692445089779,0.957461024498886,0.745945945945946,0.851703485222416,31.5,2,56,22,20,131.5,43.8333333333333,0.00760456273764259,"1/Performance Rank"
"3",38,"ensemble",0.942592592592593,0.629115030907086,0.960133630289532,0.72972972972973,0.844931680009631,20.5,1,43,40.5,36,141,47,0.00709219858156028,"1/Performance Rank"
"4",40,"ensemble",0.940946502057613,0.624244970417861,0.957461024498886,0.74054054054054,0.849000782519713,38,6,56,28.5,25,153.5,51.1666666666667,0.00651465798045603,"1/Performance Rank"
"5",58,"ensemble",0.940534979423868,0.622552334923319,0.956570155902004,0.745945945945946,0.851258050923975,45.5,8,61.5,23.5,21,159.5,53.1666666666667,0.00626959247648903,"1/Performance Rank"
"6",30,"ensemble",0.943004115226337,0.625808081001509,0.961692650334076,0.716216216216216,0.838954433275146,14.5,5,39,53.5,52,164,54.6666666666667,0.00609756097560976,"1/Performance Rank"
"7",33,"ensemble",0.940946502057613,0.619379089652543,0.958129175946548,0.732432432432432,0.84528080418949,38,15,51.5,36.5,34,175,58.3333333333333,0.00571428571428571,"1/Performance Rank"
"8",6,"ensemble",0.943004115226337,0.620854886782462,0.962583518930958,0.705405405405405,0.833994462168182,14.5,11,34.5,58,58,176,58.6666666666667,0.00568181818181818,"1/Performance Rank"
"9",67,"ensemble",0.938477366255144,0.625831161831468,0.951893095768374,0.775675675675676,0.863784385722025,69.5,4,85,10.5,10,179,59.6666666666667,0.00558659217877095,"1/Performance Rank"
"10",39,"ensemble",0.942181069958848,0.622094541609614,0.960801781737194,0.716216216216216,0.838508998976705,26.5,9,41,53.5,54,184,61.3333333333333,0.00543478260869565,"1/Performance Rank"
"11",31,"ensemble",0.940740740740741,0.619521478814063,0.958129175946548,0.72972972972973,0.843929452838139,42,13,51.5,40.5,38,185,61.6666666666667,0.00540540540540541,"1/Performance Rank"
"12",20,"ensemble",0.945473251028807,0.620026266284963,0.968819599109131,0.662162162162162,0.815490880635647,4.5,12,15.5,78.5,75,185.5,61.8333333333333,0.00539083557951483,"1/Performance Rank"
"13",66,"ensemble",0.938888888888889,0.619342738321457,0.9543429844098,0.751351351351351,0.852847167880575,63,16,75,17,16,187,62.3333333333333,0.0053475935828877,"1/Performance Rank"
"14",70,"ensemble",0.938271604938272,0.621917429185048,0.952338530066815,0.767567567567567,0.859953048817191,72.5,10,81.5,12.5,12,188.5,62.8333333333333,0.00530503978779841,"1/Performance Rank"
"15",29,"ensemble",0.94156378600823,0.619381778053816,0.959910913140312,0.718918918918919,0.839414916029615,30,14,45,51.5,50,190.5,63.5,0.005249343832021,"1/Performance Rank"
"16",61,"ensemble",0.939300411522634,0.617205502214803,0.955233853006682,0.745945945945946,0.850589899476314,56.5,21,68,23.5,22,191,63.6666666666667,0.00523560209424084,"1/Performance Rank"
"17",71,"ensemble",0.937654320987654,0.622728368732688,0.950779510022272,0.778378378378378,0.864578944200325,80,7,89,9,9,194,64.6666666666667,0.00515463917525773,"1/Performance Rank"
"18",5,"ensemble",0.943621399176955,0.615595233410726,0.965478841870824,0.678378378378378,0.821928610124601,9.5,27,24,69,68,197.5,65.8333333333333,0.00506329113924051,"1/Performance Rank"
"19",34,"ensemble",0.940740740740741,0.618544107610687,0.958351893095768,0.727027027027027,0.842689460061398,42,17,49.5,46,43,197.5,65.8333333333333,0.00506329113924051,"1/Performance Rank"
"20",65,"ensemble",0.938477366255144,0.617910014643328,0.953897550111359,0.751351351351351,0.852624450731355,69.5,19,77.5,17,18,201,67,0.00497512437810945,"1/Performance Rank"
"21",59,"ensemble",0.939300411522634,0.615957826206779,0.955679287305123,0.74054054054054,0.848109913922832,56.5,25,66.5,28.5,26,202.5,67.5,0.00493827160493827,"1/Performance Rank"
"22",25,"ensemble",0.9440329218107,0.615405545203469,0.966592427616927,0.67027027027027,0.818431348943598,8,28,21,73.5,73,203.5,67.8333333333333,0.00491400491400491,"1/Performance Rank"
"23",23,"ensemble",0.944650205761317,0.616138250044929,0.96792873051225,0.662162162162162,0.815045446337206,6,24,18.5,78.5,77,204,68,0.00490196078431373,"1/Performance Rank"
"24",1,"ensemble",0.94238683127572,0.61592835690129,0.962806236080178,0.694594594594595,0.828700415337386,23,26,33,64,64,210,70,0.00476190476190476,"1/Performance Rank"
"25",7,"ensemble",0.943004115226337,0.614768973901525,0.964365256124722,0.683783783783784,0.824074519954253,14.5,36,27.5,66.5,66,210.5,70.1666666666667,0.00475059382422803,"1/Performance Rank"
"26",35,"ensemble",0.939917695473251,0.617337086631033,0.957238307349666,0.72972972972973,0.843484018539698,52.5,20,58,40.5,40,211,70.3333333333333,0.004739336492891,"1/Performance Rank"
"27",56,"ensemble",0.940329218106996,0.616581342124305,0.957906458797327,0.727027027027027,0.842466742912177,49,22,53.5,46,44,214.5,71.5,0.00466200466200466,"1/Performance Rank"
"28",64,"ensemble",0.937448559670782,0.618196280317457,0.951447661469933,0.767567567567567,0.85950761451875,83.5,18,87.5,12.5,13,214.5,71.5,0.00466200466200466,"1/Performance Rank"
"29",60,"ensemble",0.938683127572016,0.613859568698654,0.954120267260579,0.751351351351351,0.852735809305965,66,39,76,17,17,215,71.6666666666667,0.00465116279069767,"1/Performance Rank"
"30",17,"ensemble",0.941358024691358,0.615403692710598,0.960579064587973,0.708108108108108,0.834343586348041,31.5,29,42,57,57,216.5,72.1666666666667,0.0046189376443418,"1/Performance Rank"
"31",16,"ensemble",0.942181069958848,0.61529804574146,0.962360801781737,0.697297297297297,0.829829049539517,26.5,30,37,62,61.5,217,72.3333333333333,0.00460829493087558,"1/Performance Rank"
"32",14,"ensemble",0.942181069958848,0.615111984470538,0.962360801781737,0.697297297297297,0.829829049539517,26.5,32,37,62,61.5,219,73,0.0045662100456621,"1/Performance Rank"
"33",48,"ensemble",0.940740740740741,0.616368290522368,0.959465478841871,0.713513513513514,0.836489496177692,42,23,46,55.5,55,221.5,73.8333333333333,0.00451467268623025,"1/Performance Rank"
"34",37,"ensemble",0.939094650205761,0.614867140267362,0.955902004454343,0.735135135135135,0.845518569794739,59.5,34,65,33.5,32,224,74.6666666666667,0.00446428571428571,"1/Performance Rank"
"35",41,"ensemble",0.939917695473251,0.615279080722915,0.957461024498886,0.727027027027027,0.842244025762957,52.5,31,56,46,46,231.5,77.1666666666667,0.00431965442764579,"1/Performance Rank"
"36",26,"ensemble",0.943621399176955,0.61137481535863,0.966815144766147,0.662162162162162,0.814488653464155,9.5,46,20,78.5,78,232,77.3333333333333,0.00431034482758621,"1/Performance Rank"
"37",32,"ensemble",0.940329218106996,0.614779450544856,0.958351893095768,0.721621621621622,0.839986757358695,49,35,49.5,49.5,49,232,77.3333333333333,0.00431034482758621,"1/Performance Rank"
"38",55,"ensemble",0.937860082304527,0.613407887082635,0.953229398663697,0.751351351351351,0.852290375007524,75.5,41,80,17,19,232.5,77.5,0.0043010752688172,"1/Performance Rank"
"39",52,"ensemble",0.938888888888889,0.6147226167145,0.955679287305123,0.735135135135135,0.845407211220129,63,37,66.5,33.5,33,233,77.6666666666667,0.00429184549356223,"1/Performance Rank"
"40",8,"ensemble",0.942181069958848,0.612688880697176,0.963028953229399,0.689189189189189,0.826109071209294,26.5,45,32,65,65,233.5,77.8333333333333,0.00428265524625268,"1/Performance Rank"
"41",44,"ensemble",0.939506172839506,0.615068078339224,0.957015590200445,0.727027027027027,0.842021308613736,55,33,59,46,47,240,80,0.00416666666666667,"1/Performance Rank"
"42",21,"ensemble",0.944238683127572,0.609368892277263,0.968596881959911,0.648648648648649,0.80862276530428,7,56,17,81,80,241,80.3333333333333,0.004149377593361,"1/Performance Rank"
"43",57,"ensemble",0.940329218106996,0.613410426567713,0.958574610244989,0.718918918918919,0.838746764581954,49,40,48,51.5,53,241.5,80.5,0.0041407867494824,"1/Performance Rank"
"44",19,"ensemble",0.942798353909465,0.610229926456752,0.965256124721604,0.67027027027027,0.817763197495937,18,52,25,73.5,74,242.5,80.8333333333333,0.00412371134020619,"1/Performance Rank"
"45",49,"ensemble",0.938477366255144,0.613100325076896,0.955011135857461,0.737837837837838,0.846424486847649,69.5,42,70.5,31,31,244,81.3333333333333,0.0040983606557377,"1/Performance Rank"
"46",24,"ensemble",0.94238683127572,0.609369803517121,0.964142538975501,0.678378378378378,0.82126045867694,23,55,29,69,69,245,81.6666666666667,0.00408163265306122,"1/Performance Rank"
"47",47,"ensemble",0.940329218106996,0.61468016820548,0.95902004454343,0.713513513513514,0.836266779028472,49,38,47,55.5,56,245.5,81.8333333333333,0.00407331975560081,"1/Performance Rank"
"48",28,"ensemble",0.939094650205761,0.613038863089687,0.956347438752784,0.72972972972973,0.843038584241257,59.5,44,63,40.5,41,248,82.6666666666667,0.00403225806451613,"1/Performance Rank"
"49",68,"ensemble",0.936625514403292,0.610770742450522,0.951670378619154,0.754054054054054,0.852862216336604,85.5,49,86,14,15,249.5,83.1666666666667,0.00400801603206413,"1/Performance Rank"
"50",69,"ensemble",0.93477366255144,0.610811858182372,0.947884187082405,0.775675675675676,0.86177993137904,90,48,90,10.5,11,249.5,83.1666666666667,0.00400801603206413,"1/Performance Rank"
"51",13,"ensemble",0.941152263374486,0.610489923063765,0.961247216035635,0.697297297297297,0.829272256666466,35,50,40,62,63,250,83.3333333333333,0.004,"1/Performance Rank"
"52",2,"ensemble",0.94238683127572,0.609210164351213,0.964365256124722,0.675675675675676,0.820020465900199,23,58,27.5,71.5,71,251,83.6666666666667,0.00398406374501992,"1/Performance Rank"
"53",22,"ensemble",0.943004115226337,0.608642712548984,0.965924276169265,0.664864864864865,0.815394570517065,14.5,62,23,76,76,251.5,83.8333333333333,0.00397614314115308,"1/Performance Rank"
"54",50,"ensemble",0.938888888888889,0.613069407706225,0.956124721603563,0.72972972972973,0.842927225666647,63,43,64,40.5,42,252.5,84.1666666666667,0.00396039603960396,"1/Performance Rank"
"55",4,"description",0.950205761316872,0.602073213944503,0.982182628062361,0.562162162162162,0.772172395112262,2,71,5.5,89,88,255.5,85.1666666666667,0.00391389432485323,"1/Performance Rank"
"56",10,"ensemble",0.940534979423868,0.610252923772026,0.960133630289532,0.702702702702703,0.831418166496118,45.5,51,44,59.5,59,259,86.3333333333333,0.00386100386100386,"1/Performance Rank"
"57",5,"description",0.950617283950617,0.599352141246103,0.983964365256125,0.545945945945946,0.764955155601035,1,74,3,91,91,260,86.6666666666667,0.00384615384615385,"1/Performance Rank"
"58",4,"ensemble",0.941975308641975,0.607931409331389,0.96369710467706,0.678378378378378,0.821037741527719,29,63,30.5,69,70,261.5,87.1666666666667,0.00382409177820268,"1/Performance Rank"
"59",3,"ensemble",0.943004115226337,0.606841039173268,0.966146993318486,0.662162162162162,0.814154577740324,14.5,68,22,78.5,79,262,87.3333333333333,0.00381679389312977,"1/Performance Rank"
"60",36,"ensemble",0.943415637860082,0.593125124131835,0.969042316258352,0.632432432432432,0.800737374345392,11,75,13.5,84,83,266.5,88.8333333333333,0.00375234521575985,"1/Performance Rank"
"61",53,"ensemble",0.937860082304527,0.611355824618948,0.95456570155902,0.735135135135135,0.844850418347078,75.5,47,74,33.5,37,267,89,0.00374531835205993,"1/Performance Rank"
"62",62,"ensemble",0.937654320987654,0.609781376685364,0.953897550111359,0.74054054054054,0.84721904532595,80,53,77.5,28.5,29,268,89.3333333333333,0.00373134328358209,"1/Performance Rank"
"63",7,"description",0.949794238683128,0.578825999766214,0.985300668151448,0.518918918918919,0.752109793535183,3,78,1,93.5,93,268.5,89.5,0.0037243947858473,"1/Performance Rank"
"64",11,"ensemble",0.941152263374486,0.606915151004582,0.962360801781737,0.683783783783784,0.82307229278276,35,67,37,66.5,67,272.5,90.8333333333333,0.0036697247706422,"1/Performance Rank"
"65",51,"ensemble",0.938271604938272,0.608747049563467,0.955011135857461,0.735135135135135,0.845073135496298,72.5,61,70.5,33.5,35,272.5,90.8333333333333,0.0036697247706422,"1/Performance Rank"
"66",76,"ensemble",0.937448559670782,0.609636278239344,0.953674832962138,0.74054054054054,0.847107686751339,83.5,54,79,28.5,30,275,91.6666666666667,0.00363636363636364,"1/Performance Rank"
"67",14,"mesh_final",0.917283950617284,0.563245761391856,0.924053452115813,0.835135135135135,0.879594293625474,92,81,93,6,5,277,92.3333333333333,0.0036101083032491,"1/Performance Rank"
"68",63,"ensemble",0.942592592592593,0.586494222121998,0.96792873051225,0.635135135135135,0.801531932823692,19,76,18.5,83,82,278.5,92.8333333333333,0.00359066427289048,"1/Performance Rank"
"69",12,"mesh_final",0.917489711934156,0.561169041586152,0.925167037861915,0.824324324324324,0.87474568109312,91,82,92,8,8,281,93.6666666666667,0.00355871886120996,"1/Performance Rank"
"70",17,"mesh_final",0.912551440329218,0.55495055731556,0.917594654788419,0.851351351351351,0.884473003069885,96,84,97,2,2,281,93.6666666666667,0.00355871886120996,"1/Performance Rank"
"71",10,"mesh_final",0.912962962962963,0.553526749525031,0.91826280623608,0.848648648648649,0.883455727442364,94.5,85,96,3,3,281.5,93.8333333333333,0.00355239786856128,"1/Performance Rank"
"72",78,"ensemble",0.936625514403292,0.606106852203964,0.952115812917595,0.748648648648649,0.850382230783122,85.5,70,83.5,20.5,23,282.5,94.1666666666667,0.00353982300884956,"1/Performance Rank"
"73",16,"mesh_final",0.912962962962963,0.552061165090415,0.918708240534521,0.843243243243243,0.880975741888882,94.5,86,95,4,4,283.5,94.5,0.00352733686067019,"1/Performance Rank"
"74",45,"ensemble",0.942592592592593,0.585456218735474,0.968819599109131,0.624324324324324,0.796571961716728,20.5,77,15.5,85.5,85,283.5,94.5,0.00352733686067019,"1/Performance Rank"
"75",11,"mesh_final",0.915843621399177,0.55752010292376,0.92293986636971,0.82972972972973,0.87633479804972,93,83,94,7,7,284,94.6666666666667,0.00352112676056338,"1/Performance Rank"
"76",13,"mesh_final",0.909876543209877,0.546740245601829,0.914253897550111,0.856756756756757,0.885505327153434,97,87,98,1,1,284,94.6666666666667,0.00352112676056338,"1/Performance Rank"
"77",75,"ensemble",0.938683127572016,0.60924747887618,0.956570155902004,0.721621621621622,0.839095888761813,66,57,61.5,49.5,51,285,95,0.00350877192982456,"1/Performance Rank"
"78",73,"ensemble",0.936008230452675,0.607532758589368,0.951447661469933,0.748648648648649,0.850048155059291,89,65,87.5,20.5,24,286,95.3333333333333,0.0034965034965035,"1/Performance Rank"
"79",79,"ensemble",0.93641975308642,0.606988390238997,0.952338530066815,0.743243243243243,0.847790886655029,87,66,81.5,25.5,27,287,95.6666666666667,0.00348432055749129,"1/Performance Rank"
"80",77,"ensemble",0.937654320987654,0.608766485786669,0.95456570155902,0.732432432432432,0.843499066995726,80,60,73,36.5,39,288.5,96.1666666666667,0.00346620450606586,"1/Performance Rank"
"81",46,"ensemble",0.937860082304527,0.609090456896452,0.955011135857461,0.72972972972973,0.842370432793595,75.5,59,70.5,40.5,45,290.5,96.8333333333333,0.00344234079173838,"1/Performance Rank"
"82",12,"ensemble",0.940740740740741,0.601573947783301,0.962583518930958,0.675675675675676,0.819129597303317,42,72,34.5,71.5,72,292,97.3333333333333,0.00342465753424658,"1/Performance Rank"
"83",9,"description",0.945473251028807,0.493657445036568,0.984632516703786,0.47027027027027,0.727451393487028,4.5,95,2,96,96,293.5,97.8333333333333,0.00340715502555366,"1/Performance Rank"
"84",80,"ensemble",0.936213991769547,0.606779740914517,0.952115812917595,0.743243243243243,0.847679528080419,88,69,83.5,25.5,28,294,98,0.00340136054421769,"1/Performance Rank"
"85",15,"mesh_final",0.905144032921811,0.531416117548857,0.910244988864143,0.843243243243243,0.876744116053693,99,92,99,5,6,301,100.333333333333,0.00332225913621262,"1/Performance Rank"
"86",6,"description",0.943004115226337,0.535119653708175,0.980400890868597,0.489189189189189,0.734795040028893,14.5,91,8,95,95,303.5,101.166666666667,0.00329489291598023,"1/Performance Rank"
"87",74,"ensemble",0.937654320987654,0.607837514234898,0.955011135857461,0.727027027027027,0.841019081442244,80,64,70.5,46,48,308.5,102.833333333333,0.00324149108589951,"1/Performance Rank"
"88",9,"ensemble",0.941152263374486,0.542840538921254,0.97260579064588,0.559459459459459,0.76603262505267,33,89,11,90,90,313,104.333333333333,0.00319488817891374,"1/Performance Rank"
"89",15,"ensemble",0.938477366255144,0.599825941497528,0.957906458797327,0.702702702702703,0.830304580750015,69.5,73,53.5,59.5,60,315.5,105.166666666667,0.00316957210776545,"1/Performance Rank"
"90",81,"ensemble",0.940946502057613,0.529157798642691,0.971269487750557,0.572972972972973,0.772121230361765,38,93,12,88,89,320,106.666666666667,0.003125,"1/Performance Rank"
"91",27,"ensemble",0.940740740740741,0.528657893375552,0.973719376391982,0.540540540540541,0.757129958466261,42,94,10,92,92,330,110,0.00303030303030303,"1/Performance Rank"
"92",72,"ensemble",0.939094650205761,0.57475921521415,0.96369710467706,0.64054054054054,0.8021188226088,59.5,79,30.5,82,81,332,110.666666666667,0.00301204819277108,"1/Performance Rank"
"93",18,"ensemble",0.939094650205761,0.544169025342497,0.969042316258352,0.575675675675676,0.772358995967014,59.5,88,13.5,87,87,335,111.666666666667,0.00298507462686567,"1/Performance Rank"
"94",8,"description",0.940329218106996,0.541894522377476,0.975055679287305,0.518918918918919,0.746987299103112,49,90,9,93.5,94,335.5,111.833333333333,0.0029806259314456,"1/Performance Rank"
"95",54,"ensemble",0.938683127572016,0.565379275063012,0.964587973273942,0.624324324324324,0.794456148799133,66,80,26,85.5,86,343.5,114.5,0.00291120815138282,"1/Performance Rank"
"96",1,"description",0.939711934156379,0.485558626535055,0.982182628062361,0.424324324324324,0.703253476193343,54,96,5.5,97,97,349.5,116.5,0.00286123032904149,"1/Performance Rank"
"97",3,"description",0.937860082304527,0.450884659051546,0.983741648106904,0.381081081081081,0.682411364593993,75.5,98,4,99,99,375.5,125.166666666667,0.00266311584553928,"1/Performance Rank"
"98",2,"description",0.937654320987654,0.467695141175845,0.980846325167038,0.413513513513514,0.697179919340276,80,97,7,98,98,380,126.666666666667,0.00263157894736842,"1/Performance Rank"
"99",18,"mesh_final",0.908641975308642,0.42040043630414,0.928507795100223,0.667567567567568,0.798037681333895,98,99,91,75,84,447,149,0.00223713646532438,"1/Performance Rank"
