"","ensemble_id","desc_run_id","mesh_run_id","desc_word2vecdim","desc_max_length","mesh_word2vecdim","mesh_max_length","accuracy","kappa","sensitivity","specificity","balanced_accuracy","rank_accuracy","rank_kappa","rank_sensitivity","rank_specificity","rank_balanced_accuracy","rank_sum","rank_avg"
"1",42,5,6,100,300,300,300,0.941152263374486,0.626019467880871,0.956792873051225,0.751351351351351,0.854072112201288,30,3,51,9,6,99,33
"2",43,5,7,100,300,32,600,0.941358024691358,0.627692445089779,0.957461024498886,0.745945945945946,0.851703485222416,26.5,2,47,14,12,101.5,33.8333333333333
"3",38,5,2,100,300,100,150,0.942592592592593,0.629115030907086,0.960133630289532,0.72972972972973,0.844931680009631,15.5,1,34,32.5,28,111,37
"4",40,5,4,100,300,32,300,0.940946502057613,0.624244970417861,0.957461024498886,0.74054054054054,0.849000782519713,33,6,47,20.5,17,123.5,41.1666666666667
"5",58,7,4,32,600,32,300,0.940534979423868,0.622552334923319,0.956570155902004,0.745945945945946,0.851258050923975,40.5,8,52.5,15.5,13,129.5,43.1666666666667
"6",30,4,3,32,300,300,150,0.943004115226337,0.625808081001509,0.961692650334076,0.716216216216216,0.838954433275146,10,5,30,45.5,44,134.5,44.8333333333333
"7",33,4,6,32,300,300,300,0.940946502057613,0.619379089652543,0.958129175946548,0.732432432432432,0.84528080418949,33,15,42.5,28.5,26,145,48.3333333333333
"8",6,1,6,32,150,300,300,0.943004115226337,0.620854886782462,0.962583518930958,0.705405405405405,0.833994462168182,10,11,25.5,50,50,146.5,48.8333333333333
"9",67,8,4,100,600,32,300,0.938477366255144,0.625831161831468,0.951893095768374,0.775675675675676,0.863784385722025,62.5,4,76,2.5,2,147,49
"10",39,5,3,100,300,300,150,0.942181069958848,0.622094541609614,0.960801781737194,0.716216216216216,0.838508998976705,21.5,9,32,45.5,46,154,51.3333333333333
"11",31,4,4,32,300,32,300,0.940740740740741,0.619521478814063,0.958129175946548,0.72972972972973,0.843929452838139,37,13,42.5,32.5,30,155,51.6666666666667
"12",66,8,3,100,600,300,150,0.938888888888889,0.619342738321457,0.9543429844098,0.751351351351351,0.852847167880575,56,16,66,9,8,155,51.6666666666667
"13",20,3,2,300,150,100,150,0.945473251028807,0.620026266284963,0.968819599109131,0.662162162162162,0.815490880635647,1,12,6.5,69.5,67,156,52
"14",70,8,7,100,600,32,600,0.938271604938272,0.621917429185048,0.952338530066815,0.767567567567567,0.859953048817191,65.5,10,72.5,4.5,4,156.5,52.1666666666667
"15",61,7,7,32,600,32,600,0.939300411522634,0.617205502214803,0.955233853006682,0.745945945945946,0.850589899476314,49.5,21,59,15.5,14,159,53
"16",29,4,2,32,300,100,150,0.94156378600823,0.619381778053816,0.959910913140312,0.718918918918919,0.839414916029615,25,14,36,43.5,42,160.5,53.5
"17",71,8,8,100,600,100,600,0.937654320987654,0.622728368732688,0.950779510022272,0.778378378378378,0.864578944200325,71.5,7,80,1,1,160.5,53.5
"18",34,4,7,32,300,32,600,0.940740740740741,0.618544107610687,0.958351893095768,0.727027027027027,0.842689460061398,37,17,40.5,38,35,167.5,55.8333333333333
"19",5,1,5,32,150,100,300,0.943621399176955,0.615595233410726,0.965478841870824,0.678378378378378,0.821928610124601,5.5,27,15,61,60,168.5,56.1666666666667
"20",65,8,2,100,600,100,150,0.938477366255144,0.617910014643328,0.953897550111359,0.751351351351351,0.852624450731355,62.5,19,68.5,9,10,169,56.3333333333333
"21",59,7,5,32,600,100,300,0.939300411522634,0.615957826206779,0.955679287305123,0.74054054054054,0.848109913922832,49.5,25,57.5,20.5,18,170.5,56.8333333333333
"22",23,3,5,300,150,100,300,0.944650205761317,0.616138250044929,0.96792873051225,0.662162162162162,0.815045446337206,2,24,9.5,69.5,69,174,58
"23",25,3,7,300,150,32,600,0.9440329218107,0.615405545203469,0.966592427616927,0.67027027027027,0.818431348943598,4,28,12,65.5,65,174.5,58.1666666666667
"24",1,1,1,32,150,32,150,0.94238683127572,0.61592835690129,0.962806236080178,0.694594594594595,0.828700415337386,18,26,24,56,56,180,60
"25",35,4,8,32,300,100,600,0.939917695473251,0.617337086631033,0.957238307349666,0.72972972972973,0.843484018539698,46.5,20,49,32.5,32,180,60
"26",64,8,1,100,600,32,150,0.937448559670782,0.618196280317457,0.951447661469933,0.767567567567567,0.85950761451875,74.5,18,78.5,4.5,5,180.5,60.1666666666667
"27",7,1,7,32,150,32,600,0.943004115226337,0.614768973901525,0.964365256124722,0.683783783783784,0.824074519954253,10,36,18.5,58.5,58,181,60.3333333333333
"28",60,7,6,32,600,300,300,0.938683127572016,0.613859568698654,0.954120267260579,0.751351351351351,0.852735809305965,59,39,67,9,9,183,61
"29",56,7,2,32,600,100,150,0.940329218106996,0.616581342124305,0.957906458797327,0.727027027027027,0.842466742912177,43.5,22,44.5,38,36,184,61.3333333333333
"30",17,2,8,100,150,100,600,0.941358024691358,0.615403692710598,0.960579064587973,0.708108108108108,0.834343586348041,26.5,29,33,49,49,186.5,62.1666666666667
"31",16,2,7,100,150,32,600,0.942181069958848,0.61529804574146,0.962360801781737,0.697297297297297,0.829829049539517,21.5,30,28,54,53.5,187,62.3333333333333
"32",14,2,5,100,150,100,300,0.942181069958848,0.615111984470538,0.962360801781737,0.697297297297297,0.829829049539517,21.5,32,28,54,53.5,189,63
"33",48,6,3,300,300,300,150,0.940740740740741,0.616368290522368,0.959465478841871,0.713513513513514,0.836489496177692,37,23,37,47.5,47,191.5,63.8333333333333
"34",37,5,1,100,300,32,150,0.939094650205761,0.614867140267362,0.955902004454343,0.735135135135135,0.845518569794739,52.5,34,56,25.5,24,192,64
"35",55,7,1,32,600,32,150,0.937860082304527,0.613407887082635,0.953229398663697,0.751351351351351,0.852290375007524,68,41,71,9,11,200,66.6666666666667
"36",41,5,5,100,300,100,300,0.939917695473251,0.615279080722915,0.957461024498886,0.727027027027027,0.842244025762957,46.5,31,47,38,38,200.5,66.8333333333333
"37",52,6,7,300,300,32,600,0.938888888888889,0.6147226167145,0.955679287305123,0.735135135135135,0.845407211220129,56,37,57.5,25.5,25,201,67
"38",32,4,5,32,300,100,300,0.940329218106996,0.614779450544856,0.958351893095768,0.721621621621622,0.839986757358695,43.5,35,40.5,41.5,41,201.5,67.1666666666667
"39",26,3,8,300,150,100,600,0.943621399176955,0.61137481535863,0.966815144766147,0.662162162162162,0.814488653464155,5.5,46,11,69.5,70,202,67.3333333333333
"40",8,1,8,32,150,100,600,0.942181069958848,0.612688880697176,0.963028953229399,0.689189189189189,0.826109071209294,21.5,45,23,57,57,203.5,67.8333333333333
"41",44,5,8,100,300,100,600,0.939506172839506,0.615068078339224,0.957015590200445,0.727027027027027,0.842021308613736,48,33,50,38,39,208,69.3333333333333
"42",21,3,3,300,150,300,150,0.944238683127572,0.609368892277263,0.968596881959911,0.648648648648649,0.80862276530428,3,56,8,72,72,211,70.3333333333333
"43",57,7,3,32,600,300,150,0.940329218106996,0.613410426567713,0.958574610244989,0.718918918918919,0.838746764581954,43.5,40,39,43.5,45,211,70.3333333333333
"44",49,6,4,300,300,32,300,0.938477366255144,0.613100325076896,0.955011135857461,0.737837837837838,0.846424486847649,62.5,42,61.5,23,23,212,70.6666666666667
"45",19,3,1,300,150,32,150,0.942798353909465,0.610229926456752,0.965256124721604,0.67027027027027,0.817763197495937,13,52,16,65.5,66,212.5,70.8333333333333
"46",24,3,6,300,150,300,300,0.94238683127572,0.609369803517121,0.964142538975501,0.678378378378378,0.82126045867694,18,55,20,61,61,215,71.6666666666667
"47",47,6,2,300,300,100,150,0.940329218106996,0.61468016820548,0.95902004454343,0.713513513513514,0.836266779028472,43.5,38,38,47.5,48,215,71.6666666666667
"48",68,8,5,100,600,100,300,0.936625514403292,0.610770742450522,0.951670378619154,0.754054054054054,0.852862216336604,76.5,49,77,6,7,215.5,71.8333333333333
"49",69,8,6,100,600,300,300,0.93477366255144,0.610811858182372,0.947884187082405,0.775675675675676,0.86177993137904,81,48,81,2.5,3,215.5,71.8333333333333
"50",28,4,1,32,300,32,150,0.939094650205761,0.613038863089687,0.956347438752784,0.72972972972973,0.843038584241257,52.5,44,54,32.5,33,216,72
"51",13,2,4,100,150,32,300,0.941152263374486,0.610489923063765,0.961247216035635,0.697297297297297,0.829272256666466,30,50,31,54,55,220,73.3333333333333
"52",50,6,5,300,300,100,300,0.938888888888889,0.613069407706225,0.956124721603563,0.72972972972973,0.842927225666647,56,43,55,32.5,34,220.5,73.5
"53",2,1,2,32,150,100,150,0.94238683127572,0.609210164351213,0.964365256124722,0.675675675675676,0.820020465900199,18,58,18.5,63.5,63,221,73.6666666666667
"54",22,3,4,300,150,32,300,0.943004115226337,0.608642712548984,0.965924276169265,0.664864864864865,0.815394570517065,10,62,14,67,68,221,73.6666666666667
"55",10,2,1,100,150,32,150,0.940534979423868,0.610252923772026,0.960133630289532,0.702702702702703,0.831418166496118,40.5,51,35,51.5,51,229,76.3333333333333
"56",3,1,3,32,150,300,150,0.943004115226337,0.606841039173268,0.966146993318486,0.662162162162162,0.814154577740324,10,68,13,69.5,71,231.5,77.1666666666667
"57",4,1,4,32,150,32,300,0.941975308641975,0.607931409331389,0.96369710467706,0.678378378378378,0.821037741527719,24,63,21.5,61,62,231.5,77.1666666666667
"58",36,4,9,32,300,300,600,0.943415637860082,0.593125124131835,0.969042316258352,0.632432432432432,0.800737374345392,7,73,4.5,75,75,234.5,78.1666666666667
"59",53,6,8,300,300,100,600,0.937860082304527,0.611355824618948,0.95456570155902,0.735135135135135,0.844850418347078,68,47,65,25.5,29,234.5,78.1666666666667
"60",62,7,8,32,600,100,600,0.937654320987654,0.609781376685364,0.953897550111359,0.74054054054054,0.84721904532595,71.5,53,68.5,20.5,21,234.5,78.1666666666667
"61",51,6,6,300,300,300,300,0.938271604938272,0.608747049563467,0.955011135857461,0.735135135135135,0.845073135496298,65.5,61,61.5,25.5,27,240.5,80.1666666666667
"62",76,9,4,300,600,32,300,0.937448559670782,0.609636278239344,0.953674832962138,0.74054054054054,0.847107686751339,74.5,54,70,20.5,22,241,80.3333333333333
"63",11,2,2,100,150,100,150,0.941152263374486,0.606915151004582,0.962360801781737,0.683783783783784,0.82307229278276,30,67,28,58.5,59,242.5,80.8333333333333
"64",63,7,9,32,600,300,600,0.942592592592593,0.586494222121998,0.96792873051225,0.635135135135135,0.801531932823692,14,74,9.5,74,74,245.5,81.8333333333333
"65",78,9,6,300,600,300,300,0.936625514403292,0.606106852203964,0.952115812917595,0.748648648648649,0.850382230783122,76.5,70,74.5,12.5,15,248.5,82.8333333333333
"66",45,5,9,100,300,300,600,0.942592592592593,0.585456218735474,0.968819599109131,0.624324324324324,0.796571961716728,15.5,75,6.5,76.5,76,249.5,83.1666666666667
"67",73,9,1,300,600,32,150,0.936008230452675,0.607532758589368,0.951447661469933,0.748648648648649,0.850048155059291,80,65,78.5,12.5,16,252,84
"68",75,9,3,300,600,300,150,0.938683127572016,0.60924747887618,0.956570155902004,0.721621621621622,0.839095888761813,59,57,52.5,41.5,43,253,84.3333333333333
"69",79,9,7,300,600,32,600,0.93641975308642,0.606988390238997,0.952338530066815,0.743243243243243,0.847790886655029,78,66,72.5,17.5,19,253,84.3333333333333
"70",77,9,5,300,600,100,300,0.937654320987654,0.608766485786669,0.95456570155902,0.732432432432432,0.843499066995726,71.5,60,64,28.5,31,255,85
"71",46,6,1,300,300,32,150,0.937860082304527,0.609090456896452,0.955011135857461,0.72972972972973,0.842370432793595,68,59,61.5,32.5,37,258,86
"72",80,9,8,300,600,100,600,0.936213991769547,0.606779740914517,0.952115812917595,0.743243243243243,0.847679528080419,79,69,74.5,17.5,20,260,86.6666666666667
"73",12,2,3,100,150,300,150,0.940740740740741,0.601573947783301,0.962583518930958,0.675675675675676,0.819129597303317,37,71,25.5,63.5,64,261,87
"74",9,1,9,32,150,300,600,0.941152263374486,0.542840538921254,0.97260579064588,0.559459459459459,0.76603262505267,28,79,2,80,80,269,89.6666666666667
"75",81,9,9,300,600,300,600,0.940946502057613,0.529157798642691,0.971269487750557,0.572972972972973,0.772121230361765,33,80,3,79,79,274,91.3333333333333
"76",74,9,2,300,600,100,150,0.937654320987654,0.607837514234898,0.955011135857461,0.727027027027027,0.841019081442244,71.5,64,61.5,38,40,275,91.6666666666667
"77",27,3,9,300,150,300,600,0.940740740740741,0.528657893375552,0.973719376391982,0.540540540540541,0.757129958466261,37,81,1,81,81,281,93.6666666666667
"78",15,2,6,100,150,300,300,0.938477366255144,0.599825941497528,0.957906458797327,0.702702702702703,0.830304580750015,62.5,72,44.5,51.5,52,282.5,94.1666666666667
"79",18,2,9,100,150,300,600,0.939094650205761,0.544169025342497,0.969042316258352,0.575675675675676,0.772358995967014,52.5,78,4.5,78,78,291,97
"80",72,8,9,100,600,300,600,0.939094650205761,0.57475921521415,0.96369710467706,0.64054054054054,0.8021188226088,52.5,76,21.5,73,73,296,98.6666666666667
"81",54,6,9,300,300,300,600,0.938683127572016,0.565379275063012,0.964587973273942,0.624324324324324,0.794456148799133,59,77,17,76.5,77,306.5,102.166666666667
